eid,fname,lname,phone_number,hire_date,job_id,salary,dept_id,country
196,Alana,Walsh,650.507.9811,2023-04-04,SH_CLERK,3100,50,IN
197,Kevin,Feeney,650.507.9822,2023-04-04,SH_CLERK,3000,50,IN
198,Donald,OConnell,650.507.9833,2023-04-04,SH_CLERK,2600,50,IN
199,Douglas,Grant,650.507.9844,2023-04-04,SH_CLERK,2600,50,IN
200,Jennifer,Whalen,515.123.4444,2023-04-04,AD_ASST,4400,10,US
201,Michael,Hartstein,515.123.5555,2023-04-04,MK_MAN,13000,20,US
202,Pat,Fay,603.123.6666,2023-04-04,MK_REP,6000,20,US
203,Susan,Mavris,515.123.7777,2023-04-04,HR_REP,6500,40,US
204,Hermann,Baer,515.123.8888,2023-04-04,PR_REP,10000,70,US
205,Shelley,Higgins,515.123.8080,2023-04-04,AC_MGR,12000,110,US
206,William,Gietz,515.123.8181,2023-04-04,AC_ACCOUNT,8300,110,US
